"sponsor","data_name","legiscan_id","term","chamber","district","party","LES","LES_rank","BILL_wshare","AIC_wshare","ABC_wshare","PASS_wshare","LAW_wshare","all_bills","all_aic","all_abc","all_pass","all_law","ss_bills","ss_aic","ss_abc","ss_pass","ss_law","s_bills","s_aic","s_abc","s_pass","s_law","c_bills","c_aic","c_abc","c_pass","c_law","LES_nw","num_sponsored_bills","sponsor_pass_rate","sponsor_law_rate","num_cosponsored_bills"
"Jim Smallwood","j. smallwood",18728,"2021_2022","Senate","SD-004","R",0.504258090301452,26,0.0159404888416578,0.0159404888416578,0.0124843945068664,0.0126156433978133,0.0130548302872063,9,9,6,6,6,0,0,0,0,0,9,9,6,6,6,0,0,0,0,0,0.538489103446788,9,0.666666666666667,0.666666666666667,NA
"Chris Holbert","c. holbert",10788,"2021_2022","Senate","SD-030","R",0.427743743861494,27,0.0106269925611052,0.0106269925611052,0.0124843945068664,0.0126156433978133,0.0130548302872063,6,6,6,6,6,0,0,0,0,0,6,6,6,6,6,0,0,0,0,0,0.457286095927991,6,1,1,NA
"Nick Hinrichsen","n. hinrichsen",23104,"2021_2022","Senate","SD-003","D",0.427743743861494,28,0.0106269925611052,0.0106269925611052,0.0124843945068664,0.0126156433978133,0.0130548302872063,5,5,5,5,5,1,1,1,1,1,4,4,4,4,4,0,0,0,0,0,0.381071746606659,5,1,1,NA
"Larry Liston","l. liston",3329,"2021_2022","Senate","SD-010","R",0.387181624494273,29,0.0141693234148069,0.0141693234148069,0.00832292967124428,0.00841042893187553,0.00870322019147084,8,8,4,4,4,0,0,0,0,0,8,8,4,4,4,0,0,0,0,0,0.413128073977057,8,0.5,0.5,NA
"Jerry Sonnenberg","j. sonnenberg",3343,"2021_2022","Senate","SD-001","R",0.371515828149625,30,0.0141693234148069,0.0141693234148069,0.00832292967124428,0.00841042893187553,0.00652741514360313,8,8,4,4,3,0,0,0,0,0,8,8,4,4,3,0,0,0,0,0,0.396305644070515,8,0.5,0.375,NA
"Faith Winter","f. winter",16581,"2021_2022","Senate","SD-024","D",0.356453119884578,31,0.00885582713425434,0.00885582713425434,0.0104036620890553,0.0105130361648444,0.0108790252393386,4,4,4,4,4,1,1,1,1,1,3,3,3,3,3,0,0,0,0,0,0.304857397285327,4,1,1,NA
"Brittany Pettersen","b. pettersen",14279,"2021_2022","Senate","SD-022","D",0.340787323539931,32,0.00885582713425434,0.00885582713425434,0.0104036620890553,0.0105130361648444,0.00870322019147084,5,5,5,5,4,0,0,0,0,0,5,5,5,5,4,0,0,0,0,0,0.364249316700117,5,1,0.8,NA
"Rob Woodward","r. woodward",20030,"2021_2022","Senate","SD-015","R",0.321114722980399,33,0.0159404888416578,0.0159404888416578,0.00416146483562214,0.00420521446593776,0.00435161009573542,9,9,2,2,2,0,0,0,0,0,9,9,2,2,2,0,0,0,0,0,0.34190238285319,9,0.222222222222222,0.222222222222222,NA
"Tammy Story","t. story",20032,"2021_2022","Senate","SD-016","D",0.290386218370704,34,0.0106269925611052,0.0106269925611052,0.00624219725343321,0.00630782169890664,0.00652741514360313,6,6,3,3,3,0,0,0,0,0,6,6,3,3,3,0,0,0,0,0,0.309846055482793,6,0.5,0.5,NA
"Ray Scott","r. scott",10778,"2021_2022","Senate","SD-007","R",0.270105158687094,35,0.0123981579879561,0.0123981579879561,0.00416146483562214,0.00420521446593776,0.00435161009573542,7,7,2,2,2,0,0,0,0,0,7,7,2,2,2,0,0,0,0,0,0.287767044507325,7,0.285714285714286,0.285714285714286,NA
"Rachel Zenzinger","r. zenzinger",16096,"2021_2022","Senate","SD-019","D",0.142581247953831,36,0.00354233085370174,0.00354233085370174,0.00416146483562214,0.00420521446593776,0.00435161009573542,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0.152428698642664,2,1,1,NA
