bill_number,session,session_type,title,sponsors,out_chamber_sponsors,bill_url
HB15-1088,2015,RS,Interagency Farm-to-school Grant Program,WINTER,CROWDER,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/4BDCF15C3E1A8B5F87257DAF007227CF?opendocument
HB15-1089,2015,RS,Register Title Kei Vehicle For Roadway,PRIMAVERA,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/F4461B1B63CF73A487257DA1006F41E9?opendocument
HB15-1090,2015,RS,County Retail Marijuana Impacts Grant Program,DORE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/C03FCE0116AA834187257D88006462B5?opendocument
HB15-1091,2015,RS,Policies On Juvenile Shackling In Court,LONTINE,MERRIFIELD,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/854A3E89910A9A5C87257DA2005645B1?opendocument
HB15-1092,2015,RS,Special District Transparency Requirements,LEBSOCK,MARTINEZ HUMENIK; KEFALAS,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/314AB2221C2CBFFF87257D88005F62F2?opendocument
HB15-1093,2015,RS,Exceptions Efficient Plumbing Fixture Requirements,DORE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/149BFD70EEE655BD87257D88005EE17B?opendocument
HB15-1094,2015,RS,Restorative Justice Council And Pilot Changes,LEE,COOKE; NEWELL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/DF551A514151D34687257DA1007E9F07?opendocument
HB15-1095,2015,RS,Common Int Exempt Small Limited Expense Community,CARVER,LUNDBERG,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/66987293D22F0EDD87257D9500015DB7?opendocument
HB15-1096,2015,RS,Small Business Definition,ROUPE,,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/B7B0ED7D0B62CBF987257D9500572D9A?opendocument
HB15-1097,2015,RS,Fetal Alcohol Spectrum Disorders Commn & Screening,MCCANN,NEWELL,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/7A3C694A7000547487257D88005198C1?opendocument
HB15-1098,2015,RS,Red Light Camera,VAN WINKLE; LEBSOCK,NEVILLE T.,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/D499CDC117799F4D87257D87007BB33D?opendocument
HB15-1099,2015,RS,Hunting & Taking Black Bears & Wildlife Commission,WILLETT,SCOTT,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/17173AF33D37C83187257DAC005AA8FE?opendocument
HB15-1100,2015,RS,Sales Tax Revenue To Older Coloradans Cash Fund,LEBSOCK; ROUPE,CROWDER; ULIBARRI,http://www.leg.state.co.us/clics/clics2015a/csl.nsf/billsummary/782CB112425F1BEA87257D9700718162?opendocument
